,Text
862,"The Ltatdguaghev.efnb1oyet:1 in Section 19(1) of the Karnataka Civii Courts Aet_ 'statihg""e:'V_.tt{en the a1t1ount or vaiue of the subject matter of ""._tZ.h€ o:'i.gt'h;9.1 suit or proceeding does not exceed Rupees Ten appeai shat} tie to the District Cotm', Clearly denotes that h ités the value of the subject matter at the origins} preeeectirzg that determines the appeliate fomm."
863,"Mr. Sridharan would engage us in a very detailed discussion, but what one finds is that if the legal issue is settled, SRP 77/83 WP2119.16.doc then, the peripheral or secondary matters can always be considered and decided on case to case basis."
864,"As could be seen from the impugned judgment, the Mahazar, IMV report and seizure of the vehicle was done on the same day i.e., on 27.03.2007- the date on which the complaint was lodged which was about 2 months after the date of the alleged accident."
865,"S .T.. Road', \.A|| are' Mlgslim by Caste "" --,and__R/at Kollegala Taluk, _ ""'--'_K0_lle""gala town, . Charnarajanagar District."
866,"
 It may be said that Section 11 applies when the failure is to use all reasonable dispatch in entering on and proceeding with the reference and not when it is to use all reasonable dispatch in only proceeding with the reference."
867,"Ogston ana Tennant Co. almost copied these words ""London Candles"" with their labels."
868,"

 Ms. Naveen Malik, Additional Advocate General, Haryana argued that Abhishek aged about one year and seven months was seen last time in the company of the accused on 10.5.2003."
869,"Mr. Chagla submitted that the plaintiffs had, more than three years prior to the filing of the Originating Summons, disputed the interpretation of the same clauses of which they now seek an interpretation."
870,RCA No. 132/2011 has been filed by Regular Civil Appeals No. 37/2011 & 132/2011 Page No. 2/14 the defendant no. 1 by which his application under Section 340 of the Cr.P.C. was dismissed.
871,But this is not the only consideration that should weigh with a court in applying the provisions of the Act to prosecutions thereunder.
872,"Against this order, records indicate that the petitioner preferred an appeal before the District Judge, Bhopal under section 27 of M.P. Public Trust Act 1951 and the same was dismissed on 02-03-2010 on the ground that the order is not appellable under Section 24 of the M.P. Public Trust Act."
873,"Learned A.P.P. fairly states that though technically no case under Section 498-A of Indian Penal Code is made out; harassment to Renuka is sufficiently established on record by examining these witnesses, as also P.W.11 -   Laxminarayan, who happens to be father of Renuka."
874,The appellant thereafter filed a writ petition in this Court under Article 226 of the Constitution of India for setting aside the decision of the Board of Revenue.
875,"Prima facie, one should have thought it was difficult to believe that not only the designation of Sanyal was changed and he was described as a Junior Grade Assistant but also his emoluments increased to Rs. 575/- per month and yet his work remained exactly the same."
876,"The aforesaid application was finally disposed of by this Hon'ble Court on 15.2.2001 interalia, directing the Dental Council of India to take appropriate action to recognise the degrees of the students."
877,It is well-settled that a decision of the Supreme Court cannot be ignored on the ground that there the Lordships have not considered the question of public policy.
878,"

 ""The Indian National Congress (INC) has pioneered reservations for minorities in Kerala, Karnataka and Andhra Pradesh in Government employment and education on the basis of their social and economic backwardness."
879,"In the present case, however nothing like that has happened: on the contrary, the Magistrate was postponing the inquiry from lime to lime and was awaiting the submission of the final charge-sheet by the police."
880,"In my view, therefore having sought an interim relief and an order thereon having been passed, the respondent/workman cannot possibly be contended to seek the same relief as an interim relief in the present application."
881,"If it can be said that these armed constables had to take their orders from the accused head constable Pore as the official in-charge of the police out-post at Kolad then they might as well be directed by the accused head constable, to give effect to his threat, to take Dattaram to Roha in a hand-cuffed condition."
882,"Now coming to the Leather Industries Development Corporation -- which is the Corporation concerned in W. P. No. 854 of 1979 -- it was directed to be created by the Government in G. O. Ms. No. 835, dated 7-9-1973."
883,The plaintiff filed the replication and reiterated the averments made in the plaint.
884,"It was, under these circumstances, that the trial Court awarded R.I. for 3 years, to the accused, for the offence, punishable under Section 376 IPC."
885,"Before the Tribunal, claimant No. 1 was examined as PW 1 besides one Syed Mohamed as PW 2."
886,"There the Hubli Municipality published a now revised assessment-list under Sections 80 and 81(1) of the Bombay Municipal Boroughs Act, 1925, on 31-3-1939."
887,The said test was also contemplated to be conducted for the Self Financing Affiliated Colleges of Education in the State of Haryana.
888,"Providing for imposition of a premium which is nothing but a fee, will have to be held to be ultra vires, the provisions of the MRTP Act."
889,it is no business of the police to continue with the investigation or to start a fresh investigation.
890,"We, therefore, quash Ext. P-2 order to the extent it suspends the results of the petitioner's Pre-Degree examination and debars him from appearing for any examination or conducting studies."
891,Date of decision: 21.12.2012 The New India Assurance Co. Ltd. Patiala ......Appellant(s) Versus Smt. Rajo Devi & ors.
892,"As the petition has been filed U/s 166 M.V Act it was incumbent upon the petitioner to prove that she sustained injuries in an accident caused due to the rash and negligent driving by respondent No.1, the driver of the offending vehicle No.DL­2C­AP­5911. 

11."
893,"It has been further observed that the Parliament advisedly did not provide for enlargement of time because every elected office has a fixed term, and the election petition challenging the same must be disposed of most expeditiously."
894,"

 d) The Registry shall forthwith communicate the order to the Superintendent of the Central Prison, Thiruvananthapuram forthwith."
895,"The concept of compensatory taxes was propounded in the case of Automobile Transport , in which compensatory taxes were equated with regulatory taxes."
896,"The Supreme Court observed that the provision of Section 96 (2) (b) (ii) of the Act of 1938 is in parimateria to Section 149 (2) (a) (ii) of the Act and referred to Skandia Insurance Company Limited v. Kokilaben Chandravadan ,(1987) 2 SCC 654 and quoted with approval the following observations:-
 ""12."
897,The third and unreoorted case Cri. Misc. Case No. 737 of 1969.
898,"It is not disputed before us by the counsel on both sides that there is only one Court at Kolhapur, viz., the Court of the Civil Judge, Senior Division."
899,"Section 17 of the Registration Act clearly provides that any document (other than testamentary instruments) which purports or <span class=""hidden_text"" id=""span_22"">CS No. 07/13 Page 22 of 35</span> operates to create, declare, assign, limit or extinguish whether in present or in future any right, title or interest whether vested or contingent of the value of Rs. 100 and upwards to or in immovable property."
900,The 3rd respondent Sarpanch filed O. P. No 33 of 1966 on the file of the Principal Munsif-Magistrate's Court.
901,"The driver had the competence to drive such a vehicle, tractor with a trailer carrying goods being of light motor vehicle category transport vehicle which is the question involved in the instant case."
902,It was held that it was not necessary that the person or corporation rendering services should be situated outside India and it was sufficient to attract sub-clause (viii) that services are rendered outside India even if the person or corporation performing such services is situated in India.
903,On this reasoning also we hold that the order of the CIT (Appeals) is correct.
904,"Long after a period of six years, you have chosen to issue a notice calling upon to pay the outstanding dues even though you have recalled the loan on 28-03- 1990 itself."
905,"6.It is the case of the petitioners that on or after 1.7.1990 in the State of Tamil Nadu, no new permit can be granted to any private operators which may overlap on the notified route."
906,The amount in deposit to be transmitted to the Tribunal.
907,"A plain reading of the provisions reproduced above shows that the same vests the court with the power to direct rectification, the exercise of which power is discretionary with the court as is apparent from the word ""may"" used in the section."
908,"On the other hand, Ld. defence counsel has further <span class=""hidden_text"" id=""span_27"">SC No.13/2011 State Vs. Sandeep Chaudhary Page 27 of 36</span> argued that no offence under section 307 IPC is made out as the bullet allegedly fired by the accused did not cause any injury to anybody."
909,"Thereafter, statements of the accused appellants under Section 313 Cr.P.C. were recorded."
910,It may be mentioned that the village Khalarka formed part of the Jagir of one Rawat Tej Singhji of Thikana Rawatsar.
911,Identification of this accused by some prosecution witnesses and especially prosecution witness Minaxi Patel may have an important effect on the totality of the evidence.
912,An application was moved under section 156 (3) Cr.P.C. by the father of the petitioner Jagannath Yadav and wife of K.L. Yadav on 8.9.2014 and 15.9.2014 respectively against the complainant and other accused persons in respect to the incident dated 5.8.2015.
913,On 1.3.2014 it was stated that the legal offer of settlement filed on behalf of the Insurance Company was not acceptable to the LRs of the deceased.
914,"This argument cannot be accepted, because it ignores the first condition for the applicability of Section 10 to the effect that the person contravening the order must be a company itself."
915,"

 A few writ petitions came up for consideration in Shriram Investments Ltd. (supra)."
916,She has given her specimen signature against her name.
917,(h) The Government of Punjab has constituted a Public Service Commission under Articles 315 and 316 of the Constitution of India which consists of Chairman with at least 7 members.
918,"
Section 1 states that the Lokayukta is not to hold any other office."
919,"If there was no information available with the investigating agency prior to 4.15 AM on the intervening night, they had no occasion whatsoever to stay back in the office throughout night."
920,But this is not inflexible and there may be sections in the Act where the meaning may have to be departed from on account of the subject or context in which the word has been used and that will be giving effect to the opening sentence in the or context.
921,"The intention of the Act was to cover, as far as possible, the entire field."
922,"

 7. Where a criminal proceeding is manifestly attended with mala fide and/or where the proceeding is maliciously instituted with an ulterior motive for wreaking vengeance on the accused and with a view to spite him due 47 Criminal Application No.258.13 (APL) to private and personal grudge."
923,"We are also unable to accept the submission of Mr. Singhvi that the review petition filed by the petitioner itself was a petition under Article 226 of the Constitution of India and, therefore, direction given in the review petition should be treated as if given in a writ petition."
924,On his disclosure the appellant Nandu @ Nand Lal was apprehended from his room in Gita Nagar.
925,"Since the facts in the present grounds are identical to the facts in the case of M/s. Punjab Kashmir Finance Pvt. Ltd. for the assessment year 1997-97 in ITA No.5(Asr)/2001, our order in the said appeal in ITA No.5(Asr)/2001 of even date shall be identically applicable to the facts in the present grounds and accordingly grounds No.1 to 5 of the assessee are allowed for statistical purposes."
926,In June 1951 he became the Vice-Principal; and from 1st December 1951 he was appointed the Principal.
927,"4. Of the 8 witnesses sought to be examined by the prosecution to substantiate its case against the accused persons ,all of them were examined."
928,"As per the statement of these witnesses, five accused who had fired bullet shots had proceeded towards IIT, Powai from the Padmavati road in an auto rickshaw."
929,We find that neither the ITO nor the CIT(A) nor the Tribunal has examined the matter by applying the functional test.
930,"Secondly, even if any services were performed, such services are not performed outside India."
931,The High Court of Andhra Pradesh also rejected the plea of the Banks.
932,"Heard on I.A.No.3501/2014, an application for urgent hearing."
933,"The owner insured who had also valid licence did not know that nor it has been established that he consented to its being driven by D.V. Chandrashekar, a person not holding a driving licence or a permanent driving licence and who was only holding a learner's licence."
934,It has been submitted that para 6 of the 1987 Directions provides the mode of investment which is necessarily linked up with the rate of interest mandatorily and compulsorily required to be paid by every residuary non-banking company by para 5 of the 1987 Directions.
935,"Since the complainant Mohd. Rafiq claims to be innocent, whereas the police, after carrying out investigation, has concluded he alongwith his co-accused is guilty of committing murder of Mohd. Rashid, investigation on the counter version given by the complainant would be a re- investigation and not only a further investigation by the police."
936,"The next incidental question which arises for consideration is whether there has been a severance in status and a division as between Pennan III, Vellian and Anaikutti."
937,"Thus, the submission that the entire examination should be set aside also merits no consideration."
938,"He has also denied that Chiman Bhuriya took them near his house and one stone was seized from there in their presence, or that he also showed one toilet and thereafter, he took them the panchas and the police near Sukhi Canal and showed the place by stating that he and Kalji had thrown the dead-body in that canal by bringing it in a bundle."
939,"
Counsel has further submitted that accused got the matter referred to CC NO: 378/12 Mohd Afsar v/s Mohd Afroz Judgment dated 04.03.2014 8 of 17 ­9­ mediation center but there also he tried to buy time."
940,"The Will was also witnessed by another attesting witness Karnail Singh, who, as per the statement of DW-1 Pritam Singh, also signed the Will in the presence of Sarwan Singh and that of the scribe and even the photograph of Sarwan Singh was pasted on the Will and scribe also made entry of the Will in his register."
941,"
 ➔ It was also agreed that if he or his legal heirs refuses to execute sale deed/transfer documents of the tenanted premises in favour of the tenant, the advance amount of Rs. E. No. 468/06/03 Tulsi Dass v Ashok Kumar Kainth 9 of 21 two lacs would be returned to the tenant with interest @ 24% per annum."
942,In W.P. 907/86 (corresponding to W.A. 669/86) 2 petitioners working as Section Officers etc. (Cat. 5 of Divn. I) claimed equal salary with that of their junior Sri Shyam Sunder.
943,"M. F. A. 337/78 is against the common order of the Calicut Tribunal in O. A. Nos. 176/74 and 211/74, holding that the teak plantations involved in the two applications (894 acres in O. A. 176 and 343.95 hectares in O. A. 211) are eligible for exemption under Section 2 (f) (1) (i) (C) of the Vesting Act."
944,Similarly the party No.1 will be entitled to construct the first floor on the main building and construction on the garrage.
945,"HC Devinder Kumar deposed that he had prepared the kalandra Ex.PW-23/A under Section 41 Cr.P.C. 

34."
946,(l) It has come in evidence that Faiyaz Ahmad and Neyaz Ahmad reside at Aurangabad but they have not been examined by the plaintiff in support of his case although the plaintiff claims his title through them.
947,"It has been argued on behalf of the appellant before us that when he accepted to conduct the course for four days in the A.P. Productivity Council for the benefit of the employees of the Girijan Co-operative Corporation, he was engaged in occasional work of a scientific or cultural character."
948,"It is stated that Bhojraj went to the house of Rajendra Padmakar whereas, Ganesh Dhakde went to the house of Subhash Padmakar five minutes after the departure of the witness Bhojraj."
949,"In my view, Explanation-I is not a mere explanation added to explain or elaborate Regulation No.67 (10), but it is an independent provision."
950,He has deposed that they all saw Alrav in a pool of blood and Laxmi had also sustained injuries.
951,"Witness DW9 Sh. N.V.N Krishnan who was posted as Inspector of Police with CBI, ACB, New Delhi in January 2009 had identified his signatures on the seizure memo Ex.DW9/A vide which he had seized document related to this case during 06/11 26 of 95 a search conducted at the office premise of accused no.1 Sh. Anil Kumar Saini."
952,"Writ petitions before the Allahabad High Court were heard and allowed by the Division Bench (M. Katju and Mrs. Poonam Srivastava, JJ.) vide common judgment and order dated January 27, 2004 reported in Indian Oil Corporation Ltd. v. State of U.P. (connected with Moser Baer India Ltd. v. State of U.P.). 

4. State of U.P., being aggrieved, filed special leave petitions before the apex court."
953,"Here, ad interim order of attachment was passed by the Vacation Judge who was sitting in vacation as District and Sessions Judge."
954,"To buttress his contentions, the Counsel for the appellants has relied upon the judgment of Assam High Court passed in the case of Bholanath Thakur and another Vs. Sarvananda Kotoky and others, reported in AIR 1966 Assam 41."
955,There can be an escape from assessment only when there is an assessment.
956,"The brief facts of the case of the prosecution are that:-
 (i) The accused No.1 was the Manager of Bank of India, Hanumanthanagar Branch, Bengaluru during the period from May-1999 to July-2001 and accused Nos.2 to 5 were the Directors of M/s.Nandh Product Promoters Pvt.Ltd."
957,"There has since been quite a number of important decisions of this Court, other High Courts and the Hon'ble Supreme Court."
958,"The Constn. conceives of an impeachment of the President of India, Comptroller and Auditor General of India."
959,One may refer to Section 5.4.1(3) here.
960,I must also note that the legislature does have experience in enacting provisions conceding the powers for confiscation to specified non-judicial authorities who are to exercise quasi judicial functions.
961,"However, the petitioner-company again started investing the deposits in the manner prescribed by the 1987 Directions on and from January 31, 1992."
962,"In this factual scenario, it would be in the interest of justice to set aside the judgment of the learned Additional District Judge and remand both the suits to the learned trial court for trial."
963,It was also denied that compensation assessed by LAC in respect of the land acquired is either inadequate or that it does not represent the true market LAC-07/13 Page:-4/14 value of the land as on the date of notification U/s 4 (1) of the L. A. Act.
964,(Smt.Vimla Jain) Judge manju Criminal Revision No. 463/1999 11/04/2014 None for the applicant.
965,"On merits it has been argued by Mr. Bhat that the essential ingredients of Section 7 of the Act have not established inasmuch as no official work was pending with the accused-appellant and the allotment work was done by the Manager and, hence, he could not have shown any official favour."
966,Section 100 deals with administrative powers of Zilla Parishad.
967,"The co-accused, Aruna Chadha moved an application seeking clarification of order dated 25.07.2013 passed by this Court in Crl.M.A. No.14966/2013 and 14965/2013 and in Crl.Rev.P. No.305/2013."
968,The Rajasthan High Court in Bhuramal and Ors. v. State of Rajasthan took a similar view.
969,"The Supreme Court mentioned some of the factors which are required to be considered in deciding whether the language of a particular enactment is to be understood as indicative of the retrospective operation of the Act and held that normally a statute is to be interpreted, as far as possible, not to defeat vested rights."
970,"The question posed was that since presently there is a valid order remanding them to judicial custody, even if there was a prior infringement either of Article 22(1) or 22(2) of the Constitution or Section 50 of the Cr. P.C, the said illegality stood cured and in any case has become irrelevant."
971,"It was further argued that RW-1 Inder Singh in his cross examination dated 28.09.2013 while admitting that respondent no. 1 Darshan Kumar is a tenant in the suit premises in his individual capacity went further in stating that respondent no. 1 Darshan Kumar is not residing in the tenancy premises since long and is residing at Rajouri Garden, BLK-189 (MIG) Flat."
972,"In the name of availability of the commercial premises, the petitioners have got only the first floor and second floor of the property bearing no.3/13B, Asaf Ali Road, New Delhi, which is entirely in occupation of the tenants."
973,It is further averred that the 1st petitioner-Association also submitted another application dated 18-4-2006 under the Right to Information Act 2005 to the Public Information Officer-cum-Municipal Manager of Bapatla Municipality seeking for copies of (i) documents submitted by the 9th respondent at the time of the nomination in the month of September 2005 and (ii) Caste certificate filed by the 9th respondent at the time of filing of nomination.
974,"Consequently, both options (3) and (4) are correct."
975,"If so, that jurisdiction,""as restored under Ordinance XXVII of 1949 by the amendment thereby of the said items 62 and 63 thus bringing it into line with section 188, Criminal Procedure Code, with the requisite adaptations."
976,"Learned counsel for the applicant submits that in view of the facts and circumstances of the case no offence under Section 304 of IPC is made out against the applicant, as the deceased is trained lineman and he should have taken due precaution and care before restoring the power supply."
977,The contractor was being repeatedly asked to furnish security deposit in terms of the contract.
978,"An earlier decision of the Kerala High Court (1964 KLT 298) gave rise to a Commission appointed to recommend which sections of the people required special treatment under Art. 15(4) of the Constitution, having regard to their social and educational conditions."
979,"It further held that if caste is taken as themselves as the sole basis for determination of social backwardness of a group of citizens, the test may break down in relation to many sections of Indian society, like Muslims, Christians and Jains."
980,The material common facts relevant for the purpose of disposing of these revision applications are as follows:
981,"The appellants, M/s. Lundgren and Rollven, have to show that it passed to them and passed, too, before the beginning of the voyage."
982,"Dr. PS MALIK Addl. Sessions Judge N/E Karkardooma Courts, Delhi"
983,In his order of provisional assessment the ITO set out his grounds for rejecting the claim of Siemens.
984,"That was again rectified under Section 154 and assessment was completed on a total income of Rs. 12,705 on September 16, 1958."
985,"Whereas, the RW 1 Sh. Jakir Ali in his affidavit Ex. RW 1/1, filed in the year 2013, stated that the respondent was inducted as a tenant ten years ago i.e., 2003."
986,"The Circle Inspector of Police, Kundara police station in Crime No.108 of 1999 of Anchalamood police Crl.Appeal No.1585/05 & R.C.No.1/05."
987,"It would also be subject to the same limitations as held in M. C. Mehta v. Union of India.' 
 

 11."
988,"The other learned Judges - namely, Gupta, Tulzapurkar, Fazal Ali, Desai and Pathak, JJ - who were parties to the above judgment have all agreed in general with the view expressed by Bhagwati, J. on the question of locus standi."
989,"On November 1, 1950, Dr. K. P. Banerjee was appointed the Assistant Medical Officer of the Dimakuchi Tea Estate, whose management is the respondent in this appeal."
990,These particulars supplied by the election-petitioner were in the nature of his supplemental pleading.
991,"To cover up that, totally false allegations are being raised against the accused persons, it is contended."
992,"In view of the decision cited (supra), I have also awarded a sum of Rs. 15,000/- towards loss of consortium to the first claimant and a further sum of Rs. 15,000/- towards loss to the estate to the claimants apart from granting interest at 12 per cent per annum."
993,"The   workman   Munni   Lal   directly   filed   the   claim  petition against the management raising the industrial dispute of  ID No. 340/11                  Munni Lal Vs. M/s USO International  Pvt. Ltd.                     Page No. 1 out of  28  his illegal termination.

2"
994,"The petitioners who have transferred the shares through respondent No. 2 and thereafter it is respondent No. 2 who has set them up, their conduct is not bona fide, therefore, in equity they are not entitled to invoke the jurisdiction under section 155 of the Act and the court will not be justified in exercising jurisdiction in their favour."
995,The Claims Tribunal held that the accident occurred due to negligence of non-applicant No. 1 Rajendrasingh and compensation was payable to the claimants by Rajendrasingh and the Insurance Company with which the vehicle was insured.
996,"Learned counsel further submits that the view taken by Shinde J. and Deshmukh J. does not notice provisions of sub-Section (2) of section 16 of the Amendment Act, 2002 so also the judgments of the Apex Court in the cases of State Bank of Hyderabad and Sumesh Singh (supra) and will therefore have to be held as per incuriam."
997,"As already indicated, the statutory (1) [1952] S. C. R. 583."
998,"Firstly, that he has not received any legal demand notice from the complainant and Secondly that the blank signed cheque in question Ex. CW1/2 has been issued by him as security to the complainant at the time of taking of the loan and not in discharge of his loan liability as alleged by the complainant."
999,"This is more when the provision is discriminatory as it creates a discrimination between the petitioner University and the other University created under the M.P. Vishwavidyalaya Adhiniyam, 1973."
1000,"For the purpose of brevity, the various petitions, orders, rules, etc. shall be referred to as follows:-
 (1) Air India as ""A.I."""
1001,"To carry the matter further : Suppose the Federal Parliament were to, lay a tax on the owners of motor cars, and carts, and guns, and dogs and sheep."
1002,"As is apparent from the above, the brands discontinued in Tamil Nadu by the first petitioner and the others, have been approved in Andhra Pradesh at the existing prices (1999-2000)."
1003,"On March 1, 1960, the Governor issued a notification containing Order No. GAD 7 ORR 60 dated March 1, 1960, ordering ""that for direct recruitment to appointments and posts in the services of the State, reservation for Scheduled Caste and Scheduled Tribes shall be 15% and 3%."
1004,In his cross-examination on behalf of accused Bharat Bhusan nothing of consequence has come out and statement that he had gone with Bharat Bhushan to the cinema House has not been shaken.
1005,THE UTTAR PRADESH ABSORPTION OF RETRENCHED EMPLOYEES OF GOVERNMENT OR PUBLIC CORPORATIONS IN GOVERNMENT SERVICE RULES.
1006,Satya Narayan Singh was not granted any permit.
1007,"On the other hand, the Ld.Addl.PP has relied upon the judgment reported as, ""(2007) 2 SCC 170"", titled as, ""Ramdas & Ors. Vs. State of Maharashtra,"", wherein the Hon'ble Supreme Court has been pleased to hold as under:­ xxxxx ""24. ..........."
1008,"In the case of State of Punjab v. Balbirsingh , the Supreme Court has observed that Section 43 which deals with the power of seizure and arrest in public places is slightly different from Section 42 of the NDPS Act in certain respects."
1009,The Moopil Nayar or senior member of this family for the time being was the ruler of the Kavalappara State.
1010,"Sh. Kamal Kant Khandewal, handwriting expert was also examined as R4W3 and relied upon photo enlargements Ex. R4W3/1 to R4W3/9 and their CD Ex. R4W3/10, his report Ex. R4W3/11."
1011,"In order that a deduction may be claimed under its provisions it must be proved first that there was an expenditure, secondly, that the expenditure was not in the nature of a capital expenditure- I am leaving aside the personal expenses-and, thirdly, that it was laid out or expended wholly and exclusively for the purposes of the assessee's business-I am leaving out profession or vocation. """
1012,"On 24.09.2008, informant Amit Kumar Saxena went to the P.S. Malviya Nagar and gave a written complaint (Ex.PW1/A) to police that on 18.09.2008, he left for Saket Mall from Noida at about 6:00 p.m and reached at Saket Mall at about 6:45 p.m."
1013,"He has also argued that the findings of the said court as well as the reports submitted before the Ld. Trial Court by the Protection Officer, clearly indicate that the appellants were in 'domestic­relationship' with the respondent and the respondent was residing in a ""shared household"" with them, during the relevant period."
1014,"At about 6:00 pm they were present at Nehru Place bus terminal, a secret informer met him and informed him that a person namely Abid @ Guddu who is a BC of PS Govindpuri will came at near Shamshan Ghat, Kalkaji to meet some person at around 7:00 pm on motorcycle bearing no. 2496 alongwith illegal arms with him."
1015,"Mr. Justice Chaturvedi, before whom this application came up for hearing held that the application under (1)(1952) 1 L.L.J. 195. 

cl. 5(a) was maintainable and the Appellate Tribunal had erred in holding otherwise."
1016,All these witnesses were included in the list of 36 witnesses mentioned above.
1017,"It is stated that in the State of Tamil Nadu when 88 omni buses are paying tax on floor area basis and while so, the writ petitioners, who provided seats below 36, cannot make grievance on levy of tax on floor area basis."
1018,"The third objection of the objector is that the bid of Mohd. Yunus of a sum of Rs. 1,05,000/- was accepted and he was asked to deposit 25% of the amount of bid."
1019,As discussed above a suit can be withdrawn with or without permission of court.
1020,"PW14 also admitted to have got registered criminal cases against ASI Sukhdev Singh, HC Mahender Singh of Police Station Hari Nagar prior to May 2007 and at that time Sh. N.M. Singh was the SP of CBI."
1021,"Under the Constituition of United States of America Amendment 14, no State can make of enforce law which abridges the privileges or immunities of the citizen of the United States."
1022,"The section salesmen, propagandists, local travelling salesmen, local salesmen and drivers did not belong to the depot establishment."
1023,"Ordinarily, one would not make such a demand to a person whom he knows is not in a position to meet it."
1024,"Farooq Hasan, J. 

1. Kanaram, Hanuman, Bhanwar alias Bhura, Jeewan, Gopiram, Ratna Ram, Chhitar, Phula and Mohan, all the appellants in this appeal are aggrieved against the judgment dated 23rd April."
1025,"In the facts of the case before it, by applying the aforesaid principles, the Supreme Court held that quashing of charge in the criminal proceedings at that stage was not just and proper."
1026,"[1960]  2 SCR  311, The  General Manager,
Southern Railway  v. Rangachari"
1027,"Opponent No. 1A/4, Laljibhai Joitabhai, was party to the original petition also as opponent No. 1."
1028,"This Court, with utmost respect to the learned Judge of the Calcutta High Court, cannot accept and follow the said judgment."
1029,Respondent 1 Santi Ranjan Somaddar was employed by the petitioner since 1-2-1947 as an assistant bill clerk.
1030,"On the other hand, it is stated in that document that he was a resident of KGF at the relevant point of time."
1031,"All these writ petitions have been filed by the Government of Puducherry and its Subordinate Officials challenging the common order of the Central Administrative Tribunal, Madras Bench, dated 17th September, 2007, in various original applications filed by different applicants."
1032,"Shri Singh was referring to us in the above context the evidence of PW3, the Investigating Officer."
1033,To permit any such action would be a negation of Articles 14 and 16 of the Constitution of India.
1034,"Even Patna High Court CWJC No.17151 of 2014 dt. 19-04-2017 though, we find no case made out for allowing the prayer made by the petitioner for declaring second proviso of Section 3(2) of the Entry Tax Act to be ultra vires; nor do we find any case made out for holding that recovery and imposition of entry tax on the petitioner by the impugned order is illegal."
1035,"The case of CT. A. CT. Chidambaram v. CT. A. CT. Subranianian, AIR 1953 Mad 492 was also referred to by learned Counsel and reliance was placed on the principle laid down by Venkata Rama Aiyar, J., as he then was, at page 497, paragraph 12 of 'the report."
1036,"However, he has not adverted to his statement given on oath as DW1."
1037,"Sections 260-A and 268-A of the 1961 Act will now have to be interpreted by reading the two harmoniously, so as to give effect to the aforesaid two provisions keeping in mind the objects and the reasons on the basis whereof Section 268-A was inserted into the 1961 Act."
1038,"Now before we proceed to consider the true meaning and connotation of the words ""not involving the carrying on of any activity for profit"" occurring at the end of the definition of ""charitable purpose"" in section 2 clause (15), it will be convenient to dispose of a short contention raised on behalf of the Revenue in Tax Reference Nos. 10 to 14 of 1975."
1039,"The section makes it clear that excise is levied only on the amount representing the manufacturing cost plus the manufacturing profit and excludes post-manufacturing cost and the profit arising from that post-manufacturing operation, namely selling profit."
1040,"Pirthi Singh, Deputy Superintendent of Police, also reached there."
1041,"By that resolution the Municipal Council considered the appeal filed by the. respondent Vidya Varidhi Thirtha Swamiar against the proceedings of the Chief Officer of the Municipal Council dated 18 April, 1970 refusing licence for exhibiting cinematograph films in the building situated in Moodanidambur village."
1042,The petitioner in Writ Petition No. 621 of 1970 which was decided along with Writ Petn No. 619 of 1970 (D. N. Chanchala's case supra) by the Supreme Court had challenged the validity of Rule 4 (h) of the rules for selection of candidates for admission.
1043,"There is greater danger, in India, of increase in violent crimes if capital punishment is abandoned, particularly, in respect of professional criminals."""
1044,"As far as the issues framed are concerned, it was contended that though in terms of Section 5 of the Act, the 1st respondent is to dispose of Ext. P1 in accordance with the procedure as applicable while trying a suit under the Civil Procedure Code, 1908, issues were not framed with notice to the parties."
1045,"Section 20(2) does not provide for a claim in anticipation of a breach of the statutory provisions, under which the employer is bound to pay the minimum wages, if the contract rate of wages was lower."
1046,"The Madras Act, which was extended to Pondicherry, was as it stood on let April, 1966, and the Pondicherry Legislature made it effective in Pondicherry by passing the retrospective Amending, Act, which Act itself as. published On 9th November, 1966."
1047,"R. M. Hajarnavis and G. C. Mathur, for Intervener No. 2 in C. A. No. 132 of 1955."
1048,"On calculation Suit No. 625/12 Page No.7/11 on that basis, the amount of compensation would come to Rs. 3,56,400/- and after addition of a sum of Rs. 30,000/- and Rs. 15,000/- the total amount would be Rs. 4,01,400/-."
1049,(2) The propositions emerging from Article 21 of the Constitution and expounding the right to speedy trial laid down as guidelines in A.R. Antulay case5 adequately take care of right to speedy trial.
1050,"Surely, it could not have been the intention to convey that the Tribunal erroneously relied on the Calcutta High Court judgment while deciding the case of RIL, because what the Tribunal in Bajaj Auto Ltd. actually said was that the facts of Bajaj Auto Ltd. were different from the facts in Balarampur Chinni Mills Ltd. (supra)."
1051,3) The National Human Rights Commission undertook a comprehensive review of the existing Act and made recommendations for comprehensive amendments therein vide its Annual Report 2001-2002.
1052,"In exercise of the power conferred by Section 9 of the Act of 1956, the Central Government promulgated The National Highways Fee (Determination of Rules and Collection) Rules, 2008 (hereinafter referred to as the Rules of 2008)."
1053,"Shri S.K. Jain, Deputy Excise and Taxation Commissioner, P.W. 6, has stated that he inspected the business premises of M/s. Roda Ram Lal Chand at Baba Bakala in Amritsar District, on September 2,1, 1963 and from those premises, the Dasti Bahi, ex. P.Y., was taken into possession by him."
1054,"The Chairman of the KEB sent a reply dated 27-2-1999 explaining the position of KEB: 
""Bangalore City, for a large part is served by overhead lines extending over 13,574 kms."
1055,I do not think it is necessary to apportion the blame between the Accountant-General and the State Government in the matter of preparation of accounts for the purpose of these cases.
