,Text
98,"['In', 'The', 'Court', 'Of', 'Sh', 'Ajay', 'Kumar', 'Jain,', 'Presiding', 'Officer:', 'Motor', 'Accident', 'Claims', 'Tribunal:', 'South', 'East', 'District/Saket', 'Courts', 'Complex/New', 'Delhi', 'Suit', 'no.', '264/11/09', 'Fir', 'No.', '291/09', 'Ps.', 'Kalkaji', 'Uid', 'No.', '02403C0312532009', 'Dhanwant', 'Singh', '&', 'anr', 'Vs.', 'Bal', 'Kishan', '&', 'ors.', 'Fatal', 'Case', '1.', 'Dhanwant', 'Singh', 'S/o', 'Sh.', 'Daujeeram', 'R/o', 'Nagala', 'Duli,', 'Po', 'Nagla', 'Khangar,', 'Tehsil', 'Shikohedbad', 'Distric', 'Firozabad,', 'U.P.', '2.', 'Rajni', 'Devi', 'W/o', 'Sh.', 'Dhanwant', 'Singh', 'R/o', 'Nagala', 'Duli,', 'Po', 'Nagla', 'Khangar,', 'Tehsil', 'Shikohedbad', 'Distric', 'Firozabad,', 'U.P.', '.............Petitioners/claimants', 'Versus', '1.', 'Bal', 'Kishan', 'S/o', 'Sh.', 'Jalim', 'Singh', '(driver)', 'R/o', 'Village', 'jatavu,', 'Ps', 'Narki,', 'District', 'Firozabad,', 'U.P', 'At', 'present:', 'H\xad16/90,', 'Sangam', 'Vihar,', 'New', 'Delhi\xad110062', '2.', 'Iqbal', 'Singh', 'S/o', 'Sh.', 'Santokh', 'Singh', '(registered', 'owner)', 'R/o', '13/156,', 'Geeta', 'Colony,', 'Delhi', '\xad110031', '3.', 'Iffco', 'Tokio', 'General', 'Insurance', 'Co.', 'Ltd.', 'Fai', 'House', '2nd', 'floor,', '10,', 'Shahid', 'Jeet', 'Singh', 'Marg,', 'Qutub', 'Institutional', 'Area,', 'New', 'Delhi.', 'Suit', 'No\xad264/11/09,', 'Dhanwant', 'Singh', '&', 'anr.', 'Vs.', 'Bal', 'Kishan', '&', 'anr.', '1', '/18', '4.', 'Sh.', 'Sarvesh', 'Pal', 'S/o', 'Ram', 'Gopal', '(subsequent', 'owner)', 'R/o', 'F\xad2/888,', 'Sangam', 'Vihar,', 'New', 'Delhi\xad110062', 'Also', 'at:', 'R/o', 'Village', 'Gadhiya,', 'Suhagpura,', 'P.S', 'Jaithura,', 'Distt.', 'Eita,', 'U.P.', 'Also', 'at:', 'R/o', 'H.', 'No.', 'H\xad16/90,', 'Sangam', 'Vihar,', 'Delhi\xad110062.', '......................Respondents', 'Date', 'of', 'Institution', ':', '01.08.2009', 'Date', 'of', 'reserving', 'judgment/order', ':', '12.08.2014', 'Date', 'of', 'Pronouncement', ':', '12.08.2014', 'Judgment']"
99,"['In', 'The', 'Court', 'Of', 'Shri', 'Ravinder', 'Singh\xadIi', 'Metropolitan', 'Magistrate', 'Dwarka', 'Courts,', 'New', 'Delhi', 'Case', 'No.', ':', '2966/12', 'Unique', 'Case', 'Id', 'No.', ':', '02405R00067412011', 'M/s', 'Vandana', 'Carpets', 'Through', 'its', 'Proprietor', 'Sh.', 'Shukal', 'Gupta.', '17\xad24,', 'Ranaji', 'Enclave,', 'Part\xadII', 'Near', 'Sanatam', 'Dharm', 'Mandir', 'Uttam', 'Nagar,', 'Najafgarh', 'Road', 'New', 'Delhi\xad110043', '.......................................Complainant', 'Versus', '1)', 'Anuj', 'Chandra', '2)', 'Neelu', 'Chandra', 'Both', 'R/o', '3/15,', 'Shanti,', 'Niketan,', 'New', 'Delhi\xad110021', 'Also', 'at:', 'J\xad705,', 'Som', 'Vihar', 'Apartments', 'Opposite', 'Sangam', 'Cinema', 'R.K', 'Puram', 'New', 'Delhi', '.......................................Accused', 'Date', 'of', 'Institution:', '01.02.2011', 'Plea', 'of', 'the', 'accused:', 'Pleaded', 'Not', 'Guilty', 'Date', 'of', 'Reserving', 'Judgment:', '12/09/2014', 'Sentence', 'or', 'final', 'Order:', 'Acquitted', 'Date', 'of', 'Judgment:', '27/09/2014', 'Judgment']"
100,"['1', 'In', 'The', 'High', 'Court', 'Of', 'Karnataka', 'At', 'Bangalore', 'Dated', 'This', 'The', '28Th', 'Day', 'Of', 'October', '2013', 'Before', 'The', ""Hon'Ble"", 'Mr.Justice', 'N.', 'Ananda', 'Criminal', 'Appeal', 'No.582/2009', 'C/W', 'Criminal', 'Appeal', 'Nos.584/2009,', '585/2009', '&', '586/2009', 'Between:', 'M.M.Vijayaraghavan,', 'Major', 'Occ:', 'Cashier', '(Udc)', 'Centre', 'For', 'Aeronautical', 'Systems', 'Studies', '&', 'Analysis,', '(Cassa)', 'Ministry', 'Of', 'Defence,', 'Drdo', 'New', 'Thippasandra,', 'Bangalore', 'Now', 'R/At', 'No.1,', 'I', 'Floor', ""'New"", 'Lakshmaiah', ""Buildings'"", '15Th', 'Cross,', 'Nagavara', 'Palya', 'C.V.Raman', 'Nagar', 'Bangalore-560', '093.', '...', 'Common', 'Appellant', '(By', 'Sri', 'B', 'C', 'Muddappa,', 'Adv.)', 'And:', 'State', 'By', 'Central', 'Bureau', 'Of', 'Investigation', '(Cbi)', 'A.C.B,', 'Bangalore.', '...', 'Common', 'Respondent', '(By', 'Sri', 'C', 'H', 'Jadhav,', 'Senior', 'Advocate)', '2', 'CRL.A.No.582/2009', 'Is', 'Filed', 'Under', 'Section', '374(2)', 'Cr.P.C.,', 'Praying', 'To', 'Set', 'Aside', 'The', 'Impugned', 'Judgment', 'Of', 'Conviction', 'Dated', '16.6.2009,', 'Passed', 'By', 'The', 'Xxi', 'Additional', 'City', 'Civil', '&', 'Sessions', 'Judge', '&', 'Special', 'Judge', 'For', 'Cbi', 'Cases,', 'Bangalore', 'In', 'Spl.C.C.No.131/1999', '&', 'Etc.', 'CRL.A.No.584/2009', 'Is', 'Filed', 'Under', 'Section', '374(2)', 'Cr.P.C.,', 'Praying', 'To', 'Set', 'Aside', 'The', 'Impugned', 'Judgment', 'Of', 'Conviction', 'Dated', '16.6.2009,', 'Passed', 'By', 'The', 'Xxi', 'Additional', 'City', 'Civil', '&', 'Sessions', 'Judge', '&', 'Special', 'Judge', 'For', 'Cbi', 'Cases,', 'Bangalore', 'In', 'Spl.C.C.No.132/1999', '&', 'Etc.', 'CRL.A.No.585/2009', 'Is', 'Filed', 'Under', 'Section', '374(2)', 'Cr.P.C.,', 'Praying', 'To', 'Set', 'Aside', 'The', 'Impugned', 'Judgment', 'Of', 'Conviction', 'Dated', '16.6.2009,', 'Passed', 'By', 'The', 'Xxi', 'Additional', 'City', 'Civil', '&', 'Sessions', 'Judge', '&', 'Special', 'Judge', 'For', 'Cbi', 'Cases,', 'Bangalore', 'In', 'Spl.C.C.No.133/1999', '&', 'Etc.', 'CRL.A.No.586/2009', 'Is', 'Filed', 'Under', 'Section', '374(2)', 'Cr.P.C.,', 'Praying', 'To', 'Set', 'Aside', 'The', 'Impugned', 'Judgment', 'Of', 'Conviction', 'Dated', '16.6.2009,', 'Passed', 'By', 'The', 'Xxi', 'Additional', 'City', 'Civil', '&', 'Sessions', 'Judge', '&', 'Special', 'Judge', 'For', 'Cbi', 'Cases,', 'Bangalore', 'In', 'Spl.C.C.No.134/1999', '&', 'Etc.', 'These', 'Appeals', 'Coming', 'On', 'For', 'Final', 'Hearing', 'This', 'Day,', 'The', 'Court', 'Delivered', 'The', 'Following:', '3', 'Judgment']"
101,"['*', 'In', 'The', 'High', 'Court', 'Of', 'Delhi', 'At', 'New', 'Delhi', '+', '1.', 'Crl.', 'A.', '186/1992', '#', 'Mukesh', '.....Appellant', 'through', '!', 'Mr.P.K.', 'Dey,', 'Amicus', 'Curiae', 'and', 'Ms.', 'Purnima', 'Sethi,', 'Adv.', 'versus', '$', 'State', '.....', 'Respondent', 'through', '^', 'Mr.', 'Manoj', 'Ohri,', 'Adv.', 'With', '2.', 'Crl.', 'A.', '189/1992', 'Suresh', '.....Appellant', 'through', 'Mr.P.K.', 'Dey,', 'Amicus', 'Curiae', 'and', 'Ms.', 'Purnima', 'Sethi,', 'Adv.', 'versus', 'State', '.....', 'Respondent', 'through', 'Mr.', 'Manoj', 'Ohri,', 'Adv.', 'Date', 'of', 'Hearing', ':', '15th', 'July,', '2008', '%', 'Date', 'of', 'Decision', ':', '01st', 'August,', '2008', 'Coram:', '*', ""Hon'Ble"", 'Mr.', 'Justice', 'Vikramajit', 'Sen', ""Hon'Ble"", 'Mr.', 'Justice', 'V.K.', 'Shali', '1.', 'Whether', 'reporters', 'of', 'local', 'papers', 'may', 'be', 'allowed', 'to', 'see', 'the', 'Judgment?', 'Yes', '2.', 'To', 'be', 'referred', 'to', 'the', 'Reporter', 'or', 'not?', 'Yes', '3.', 'Whether', 'the', 'Judgment', 'should', 'be', 'reported', 'in', 'the', 'Digest?', 'Yes', 'Crl.A.186/1992', '&', '189/1992', 'Page', '1', 'of', '42', 'Vikramajit', 'Sen,', 'J.', 'Judgment']"
102,"['Cs', 'No.', '1966/2014', 'Bhana', 'Mal', 'Rana', '@', 'Bhagwan', 'Singh', 'vs.', 'Sanjay', 'Rana', '&', 'Ors.', 'Dod:', '01.04.2015', 'In', 'The', 'Court', 'Of', 'Addl.', 'District', 'Judge\xad01:', 'South\xadWest', 'District:', 'Dwarka', 'Courts:', 'New', 'Delhi', 'Presided', 'By', ':Ms.', 'Pinki', 'Civil', 'Suit', 'No.', '1966/2014', 'In', 'The', 'Matter', 'Of', ':', 'Mr.', 'Bhana', 'Mal', 'Rana', '@', 'Bhagwan', 'Singh', 'S/o', 'Late', 'Mr.', 'Uday', 'Singh', 'R/o', 'House', 'No.', '375,', 'Vill', '&', 'Po', 'Bijwasan', 'New', 'Delhi', '\xad', '110061', '.....Plaintiff', '(Through', 'Mr.', 'Satish', 'Kumar,', 'Advocate)', 'Versus', '1.', 'Mr.', 'Sanjay', 'Rana', 'S/o', 'Sh.', 'Bhana', 'Mal', 'Rana', '@', 'Bhagwan', 'Singh', 'R/o', 'Plot', 'No.', '587,', 'Village', '&', 'Post', 'Office', 'Bijwasan.', '2.', 'Ms.', 'Lalita', 'W/o', 'Mr.', 'Sanjay', 'Rana', 'Village', '&', 'Post', 'Office', 'Bijwasan', 'New', 'Delhi', '\xad', '110061', '....Defendants', '(', 'Defendant', 'No.', '1', 'and', 'No.', '2', 'are', 'Exparte)', 'Suit', 'for', 'Recovery', 'of', 'Possession,', 'Permanent', 'and', 'Mandatory', 'Injunction', '""Dismissed', '""', 'Page', '1', 'of', '27', 'Cs', 'No.', '1966/2014', 'Bhana', 'Mal', 'Rana', '@', 'Bhagwan', 'Singh', 'vs.', 'Sanjay', 'Rana', '&', 'Ors.', 'Dod:', '01.04.2015', 'Date', 'of', 'Institution', 'of', 'Suit', ':', '27.03.2012', 'Date', 'of', 'reserving', 'judgment', ':', '31.03.2015', 'Date', 'of', 'pronouncement', ':', '01.04.2015', 'Suit', 'For', 'Recovery', 'Of', 'Posession,', 'Permanent', 'And', 'Mandatory', 'Injunction', 'Judgment']"
103,"['*', 'In', 'The', 'High', 'Court', 'Of', 'Delhi', 'At', 'New', 'Delhi', '+', 'W.P.(C)6955/2007', '&', 'Cm', 'Nos.', '13208/2007,', '13714/2007', '#', 'Narender', 'Kumar', 'Jain', '...Petitioner', 'through', '!', 'Mr.', 'Jayant', 'Bhushan,', 'Sr.', 'Adv.', 'with', 'Mr.', 'Amit', 'Gupta,', 'Adv.', '-versus-', '$', 'Govt.', 'Of', 'Nct', 'Of', 'Delhi', '...Respondent', 'through', '^', 'Mr.', 'V.K.', 'Tandon,', 'Adv.', 'for', 'Rcs', 'Mr.', 'R.N.', 'Bhardwaj,', 'Adv.', 'for', 'Respondent', 'No.3', 'With', 'W.P.(C)6956/2007', '&', 'Cm', 'Nos.13209/2007,', '14385/2007', 'Narender', 'Kumar', 'Jain', '...Petitioner', 'through', 'Mr.', 'Jayant', 'Bhushan,', 'Sr.', 'Adv.', 'with', 'Mr.', 'Amit', 'Gupta,', 'Adv.', '-versus-', 'Govt.', 'Of', 'Nct', 'Of', 'Delhi', '...Respondent', 'through', 'Mr.V.K.', 'Tandon,', 'Adv.', 'for', 'Rcs', 'Mr.', 'R.N.', 'Bhardwaj,', 'Adv.', 'for', 'Respondent', 'No.3', 'Mr.', 'K.C.', 'Mittal,', 'Mr.', 'Anil', 'Kumar', '&', 'Mr.', 'Saurabh', 'Sharma,', 'Advs.', 'for', 'Respondent', 'Nos.5', '&', '7', 'Date', 'of', 'Hearing', ':', '18th', 'September,', '2008', '%', 'Date', 'of', 'Decision', ':', '21st', 'October,', '2008', 'Coram:', '*', 'Hon‟Ble', 'Mr.', 'Justice', 'Vikramajit', 'Sen', 'Hon‟Ble', 'Mr.', 'Justice', 'S.L.', 'Bhayana', '1.', 'Whether', 'reporters', 'of', 'local', 'papers', 'may', 'be', 'allowed', 'to', 'see', 'the', 'Judgment?', 'Yes', '2.', 'To', 'be', 'referred', 'to', 'the', 'Reporter', 'or', 'not?', 'Yes', '3.', 'Whether', 'the', 'Judgment', 'should', 'be', 'reported', 'in', 'the', 'Digest?', 'Yes', 'Wp(C)6955/2007', 'Page', '1', 'of', '33', 'Vikramajit', 'Sen,', 'J.', 'Judgment']"
104,"['*', 'In', 'The', 'High', 'Court', 'Of', 'Delhi', 'At', 'New', 'Delhi', 'Judgment', 'reserved', 'on:', '11.07.2011', '%', 'Judgment', 'delivered', 'on:', '11.11.2011', '+', 'I.A.', 'No.', '13741/2006', 'in', 'Cs(Os)', '2282/2006', 'Super', 'Cassettes', 'Industries', 'Limited', '.....', 'Plaintiff', 'Through:', 'Mr', 'Amit', 'Sibal', 'with', 'Mr', 'Jagdish', 'Sagar,', 'Advocates', 'versus', 'Mr', 'Chintamani', 'Rao', '&', 'Ors.', '.....', 'Defendants', 'Through:', 'Ms', 'Pratibha', 'M', 'Singh', '&', 'Mr', 'Deepak', 'Gogia,', 'Advocates', 'And', '+', 'I.A.', 'No.', '13743/2006', 'in', 'Cs(Os)', '2283/2006', 'Yashraj', 'Films', 'Private', 'Limited', '.....', 'Plaintiff', 'Through:', 'Mr.', 'Jagdish', 'Sagar,', 'Advocate', 'versus', 'Mr', 'Chintamani', 'Rao', '&', 'Ors.', '.....', 'Defendants', 'Through:', 'Ms', 'Pratibha', 'M', 'Singh', '&', 'Mr', 'Deepak', 'Gogia,', 'Advocates', 'And', '+', 'I.A.', 'No.', '9900/2006', 'in', 'Cs(Os)', '1706/2006', '(India', 'Tv)', 'Independent', 'News', 'Services', 'Pvt.', 'Ltd.', '.....', 'Plaintiff', 'Through:', 'Ms', 'Pratibha', 'M', 'Singh', '&', 'Mr', 'Deepak', 'Gogia,', 'Advocates', 'versus', 'Yashraj', 'Films', 'And', 'Anr.', '.....', 'Defendants', 'Through:', 'Mr', 'Amit', 'Sibal', 'with', 'Mr', 'Jagdish', 'Sagar,', 'Advocates', 'CS(OS)Nos.', '1706/2006', '&', '2282-83/2006', 'Page', '1', 'of', '73', 'Coram:', ""Hon'Ble"", 'Mr.', 'Justice', 'Vipin', 'Sanghi', '1.', 'Whether', 'the', 'Reporters', 'of', 'local', 'papers', 'may', 'be', 'allowed', 'to', 'see', 'the', 'judgment?', ':', 'Yes', '2.', 'To', 'be', 'referred', 'to', 'the', 'Reporters', 'or', 'not?', ':', 'Yes', '3.', 'Whether', 'the', 'judgment', 'should', 'be', 'reported', 'in', 'the', 'Digest?', ':', 'Yes', 'Judgment']"
105,"['In', 'The', 'Court', 'Of', 'Ajay', 'Goel,', 'Additional', 'District', 'Judge-12', 'Central', 'District:Delhi', '(One', 'of', 'the', 'Oldest', 'Probate', 'Petition)', 'Pc-57/13/97', 'In', 'the', 'Matter', 'of:', 'Ms.', 'Anju', 'Kapoor', 'd/o', 'late', 'Sh', '.', 'Atam', 'Swarup', 'Khanna,', 'r/o', 'C-4/140,', 'Safdarjung', 'Development', 'Area,', 'New', 'Delhi.', '..................', 'Petitioner', 'Versus', '1)', 'State', '2)', 'Sh.', 'Anil', 'Khanna', 's/o', 'late', 'Sh.', 'Atam', 'Swarup', 'Khanna,', 'r/o', 'D-837(IInd', 'floor),', 'New', 'Friends', 'Colony,', 'New', 'Delhi.', '3)', '(a)', 'Mrs.', 'Gita', 'Khanna,', 'w/o', 'late', 'Sh.', 'Ajay', 'Khanna', '(b)', 'Ms.', 'Jyotsana', 'd/o', 'late', 'Sh.', 'Ajay', 'Khanna', '(c)', 'Master', 'Arav', 'Khanna', 's/o', 'late', 'Sh.', 'Ajay', 'Khanna', 'All', 'residents', 'of', 'r/o', 'D-837(first', 'floor),', 'New', 'Friends', 'Colony,', 'New', 'Delhi.', '4)', 'Master', 'Rajat', 'Khanna', 'through', 'father', '&', 'natural', 'guardian', 'Sh.', 'Anil', 'Khanna,', 'Pc-57/13/97', 'Page:-1/36', 'r/o', 'D-837(IInd', 'Floor),', 'New', 'Friends', 'Colony,', 'New', 'Delhi.', '5)', 'Ms.', 'Nikki', 'Kapoor', 'd/o', 'Ms.', 'Anju', 'Kapoor', 'r/o', 'D-837(Ground', 'Floor),', 'New', 'Friends', 'Colony,', 'New', 'Delhi.', 'Presently', 'at', '5062', 'Alder', 'Irvine,', 'California', '92612', 'U.S.A.', '......Respondents', 'Date', 'of', 'Institution:', '10.10.97', 'Date', 'of', 'Assignment', 'to', 'this', 'court:', '22.7.13', 'Date', 'of', 'Arguments:', '19.3.14', 'Date', 'of', 'Decision:', '9.4.14', 'Judgment']"
106,"['State', 'Vs.', 'Tej', 'Kumar', '@', 'Tinku', 'In', 'The', 'Court', 'Of', 'Sh.', 'Pawan', 'Kumar', 'Jain', 'Additional', 'Sessions', 'Judge-01', '(', 'Central):', 'Delhi', 'Sc', 'No.', '53/13', 'Id', 'No.', ':', '02401R0121122013', 'Fir', 'No.', ':', '266/12', 'Police', 'Station', ':', 'Prasad', 'Nagar', 'Under', 'Section', ':', '342/377', 'Ipc', '&', '6/8', 'Pocso', 'Act', 'State', 'Versus', 'Tej', 'Kumar', '@', 'Tinku', 'S/o', 'Sh.', 'Roshan', 'Lal,', 'R/o', 'H.', 'No.', '16/168-I', ',', 'Bapa', 'Nagar,', 'Karol', 'Bagh,', 'Delhi.', '.........Accused', 'Date', 'of', 'Institution', ':', '12.03.2013', 'Date', 'of', 'judgment', 'reserved', 'on', ':', '17.02.2014', 'Date', 'of', 'judgment', ':', '28.02.2014', 'Present:', 'Sh.', 'R.K.', 'Tanwar,', 'Additional', 'Public', 'Prosecutor', 'for', 'the', 'State.', 'Sh.', 'Dinesh', 'Sharma,', 'Advocate,', 'Amicus', 'Curiae', 'for', 'the', 'accused', 'Sc', 'No.', '53/13', 'Page', '1', 'of', '36', 'State', 'Vs.', 'Tej', 'Kumar', '@', 'Tinku', 'Judgment']"
107,"['*', 'In', 'The', 'High', 'Court', 'Of', 'Delhi', 'At', 'New', 'Delhi', 'Judgment', 'reserved', 'on:', '05.07.2013', '%', 'Judgment', 'delivered', 'on:', '11.09.2013', '+', 'W.P.(C)', '5812/2011', 'Taskinuddin', '&', 'Ors', '.....', 'Petitioners', 'Through:', 'Mr.', 'M.', 'Sufian', 'Siddiqui,', 'Rakesh', 'Bhugra,', 'M.', 'Tabishzia,', 'Advocates', 'versus', 'State', '(Nct', 'Of', 'Delhi)', '&', 'Anr', '.....', 'Respondents', 'Through:', 'Mr.', 'Dhanesh', 'Relan,', 'Advocate', 'for', 'respondent', 'No.1.', 'Mr.', 'G.S.', 'Singh,', 'Advocate', 'for', 'respondent', 'No.2.', 'Coram:', ""Hon'Ble"", 'Mr.', 'Justice', 'Vipin', 'Sanghi', 'Judgment']"
108,"['Reported', '*', 'In', 'The', 'High', 'Court', 'Of', 'Delhi', 'At', 'New', 'Delhi', '+', 'Fao', '488/1999', 'Ami', 'Chand', '&', 'Anr', '.....', 'Appellants', 'Through:', 'Mr.', 'O.P.', 'Mannie,', 'Advocate', 'versus', 'Jai', 'Prakash', '&', 'Ors', '.....', 'Respondents', 'Through:', 'Mr.', 'Salil', 'Paul,', 'Advocate', 'for', 'the', 'respondent', 'No.3', '%', 'Date', 'of', 'Decision', ':', 'October', '12', ',', '2011', 'Coram:', ""Hon'Ble"", 'Ms.', 'Justice', 'Reva', 'Khetrapal', '1.', 'Whether', 'reporters', 'of', 'local', 'papers', 'may', 'be', 'allowed', 'to', 'see', 'the', 'judgment?', '2.', 'To', 'be', 'referred', 'to', 'the', 'Reporter', 'or', 'not?', '3.', 'Whether', 'judgment', 'should', 'be', 'reported', 'in', 'Digest?', 'Judgment']"
109,"['High', 'Court', 'Of', 'Madhya', 'Pradeesh', 'Jabalpur', '(Writ', 'Petition', 'No.', '1692/2014)', 'M/s.', 'Mp', 'Amrl', '(Bicharpur)', 'Coal', 'Company', 'Ltd.', 'Vs.', 'Kemli', 'Bai', 'and', 'others', '------------------------------------------------------------------------------', 'Present', ':', ""Hon'Ble"", 'Shri', 'Justice', 'Sanjay', 'Yadav', '------------------------------------------------------------------------------', 'Counsel', 'for', 'Petitioner', 'Shri', 'Naman', 'Nagrath', 'Senior', 'Advocate', 'with', 'Shri', 'Himanshu', 'Mishra,', 'Advocate', 'Counsel', 'for', 'respondent', 'No.', '1', 'to', '19', 'Shri', 'Himanshu', 'Mishra', 'Order']"
110,"['*', 'In', 'The', 'High', 'Court', 'Of', 'Delhi', 'At', 'New', 'Delhi', '+', 'Omp', 'No.', '16/2003', 'Reserved', 'on', ':', 'November', '14,', '2008', 'Date', 'of', 'Decision', ':', 'April', '17,', '2009', 'National', 'Thermal', 'Power', 'Corporation', 'Ltd.', '.....Appellant', 'Through', ':', 'Mr.', 'R.P.', 'Bhat,', 'Sr.', 'Advocate,', 'with', 'Mr.', 'Chirag', 'M.', 'Shroff,', 'Advocate.', 'Versus', 'Wig', 'Brothers', 'Builders', 'and', 'Engineers', 'Ltd.', '.....Respondent', 'Through', ':', 'Mr.', 'P.V.', 'Kapoor,', 'Sr.', 'Advocate,', 'with', 'Mr.', 'Jeevesh', 'Nagrath,', 'Advocate.', 'Coram:', ""Hon'Ble"", 'Mr.', 'Justice', 'Mukul', 'Mudgal', '1.', 'Whether', 'the', 'Reporters', 'of', 'local', 'papers', 'may', 'be', 'allowed', 'to', 'see', 'the', 'judgment?', 'Yes', '2.', 'To', 'be', 'referred', 'to', 'the', 'Reporter', 'or', 'not?', 'Yes', '3.', 'Whether', 'the', 'judgment', 'should', 'be', 'reported', 'in', 'the', 'Digest?', 'Yes', 'Judgment']"
111,"['*', 'In', 'The', 'High', 'Court', 'Of', 'Delhi', 'At', 'New', 'Delhi', 'Date', 'of', 'Reserve:', '30.7.2009', 'Date', 'of', 'Order:', '17th', 'September,', '2009', 'Ex.', 'P.', 'No.', '275/2007', '%', '17.09.2009', 'Naval', 'Gent', 'Maritime', 'Limited', '...', 'Decree', 'Holder', 'Through:', 'Ms.', 'Anuradha', 'Dutt,', 'Advocate', 'with', 'Ms.', 'Ekta', 'Kapil,', 'Mr.', 'Anish', 'Kapur', '&', 'Mr.', 'Kuber', 'Dewan,', 'Advocate', 'Versus', 'Shivnath', 'Rai', 'Harnarain', '(I)', 'Ltd.', '...', 'Judgment', 'Debtor', 'Through:', 'Mr.', 'Chetan', 'Sharam,', 'Sr.', 'Advocate', 'with', 'Mr.', 'Anshuj', 'Dhingra', 'and', 'Mr.', 'Anubhav', 'Mehrota,', 'Advs.', 'Justice', 'Shiv', 'Narayan', 'Dhingra', '1.', 'Whether', 'reporters', 'of', 'local', 'papers', 'may', 'be', 'allowed', 'to', 'see', 'the', 'judgment?', 'Yes.', '2.', 'To', 'be', 'referred', 'to', 'the', 'reporter', 'or', 'not?', 'Yes.', '3.', 'Whether', 'judgment', 'should', 'be', 'reported', 'in', 'Digest?', 'Yes.', 'Judgment']"
112,"['In', 'the', 'High', 'Court', 'of', 'Judicature', 'at', 'Madras', 'Dated:', '03.10.2012', 'Coram', 'The', 'Honourable', 'Mrs.', 'Justice', 'Aruna', 'Jagadeesan', 'C.M.A.No.2484', 'of', '2003', 'The', 'Branch', 'Manager,', 'New', 'India', 'Assurance', 'Co.', 'Ltd.,', 'No.105,', 'Railway', 'Station', 'Road,', 'Tirupattur,', 'Vellore', 'District.', '...', 'Appellant', '..vs..', '1.Malliga', '2.Kavitha', 'Lakshmi', '3.R.Pannerselvam', '...', 'Respondents', 'Prayer:', 'This', 'Civil', 'Miscellaneous', 'Appeal', 'is', 'filed', 'under', 'Section', '173', 'of', 'Motor', 'Vehicles', 'Act,', '1988,', 'against', 'the', 'judgment', 'and', 'decree', 'passed', 'by', 'the', 'learned', 'Additional', 'Special', 'Judge', '(Mact),', 'at', 'Krishnagiri,', 'Dharmapuri', 'in', 'M.C.O.P.No.49', 'of', '2002', 'dated', '20.01.2003.', 'For', 'Appellant', ':', 'Mr.R.Sivakumar', 'For', 'Respondent-1', '&', '2', ':', 'Mr.P.Tamilavel', 'Judgment']"
113,"['In', 'The', 'Court', 'Of', 'Sh.R', 'P', 'Pandey:', 'Special', 'Judge-01', '(Cbi)', ':', 'Rohini', 'Courts:Delhi', 'Cbi', 'No.77/08', 'Rc-17(A)/2005/Scu-V/Cbi/Scr-Ii/Delhi', 'U/S', '120-B,', '420,', '468,', '471', 'Ipc', '&', 'Pc', 'Act', '1988', 'Id', 'No.02404Ro650672007', '(Swarn', 'Cghs)', 'Central', 'Bureau', 'of', 'Investigation', 'Vs.', '1.', 'Gokul', 'Chand', 'Aggarwal', 's/o', 'Late', 'Sh.Jagdish', 'Prasad', 'r/o', 'A-603', 'and', '703', 'Ashoka', 'Apartments', 'Plot', 'No.36/2,', 'Sector-9', 'Rohini,', 'Delhi-85', '2.', 'Narayan', 'Diwakar', 's/o', 'Late', 'Chatti', 'Lal', 'r/o', 'G-30,', 'Masjid', 'Modh,', 'Greater', 'Kailash', 'Part-II,', 'New', 'Delhi-48', '3.', 'Daya', 'Nand', 'Sharma', 's/o', 'late', 'Sh.Ram', 'Diwaya', 'Sharma', 'r/o-1378,', 'Rani', 'Bagh,', 'Shgakur', 'Basti', 'Delhi-34', 'Cbi', 'Vs.', 'Gokul', 'Chand', 'Aggarwal', '&', 'Ors', '(Swarn', 'Cghs)', 'Cbi', 'No.77/08', 'Page', 'No.1', 'of', '68', '4.', 'Uday', 'Shankar', 'Bhatnagar', 's/o', 'late', 'Sh.S', 'S', 'Bhatnagar', 'r/o-B-4/74,', 'Type-II,', 'Delhi', 'Administration', 'Flats', 'Timar,', 'Delhi', '5.', 'Faiz', 'Mohammad', 's/o', 'Sh.Gulam', 'Mohammad', 'r/o', '3794,', 'Ahata', 'Kitara,', 'Pahari', 'Dheeraj', 'Pahari', 'Dhiraj,', 'Delhi-6', '6.', 'Ashwani', 'Sharma', 's/o', 'late', 'R', 'K', 'Sharma', 'r/o-291A,', 'Pocket-C,', 'Mayur', 'Vihar', 'Phase-II,', 'Delhi', '7.', 'Naveen', 'Kaushik', 's/o', 'late', 'Sh.M', 'D', 'Sharma', 'r/o-I-2/38,', '2nd', 'Floor,', 'Sector-16,', 'Rohini', 'New', 'Delhi-110085', '8.', 'Kamal', 'Singh', 's/o', 'late', 'Sh.Bakhtawar', 'Singh', 'r/o-677,', 'VPO-Badli,', 'Delhi', 'Date', 'of', 'filing', 'charge', 'sheet', ':', '29.03.07', 'Reserved', 'for', 'Order', ':', '28.02.14', 'Date', 'of', 'Order', ':', '04.03.14', 'Order']"
